ID,Nombre,Fecha de inicio,Fecha de fin,Duración,Progreso,Página web,Recursos,Notas,

1,"  Documento especificación de requisitos",14/02/11,22/02/11,6,0,"","","",
7,"  Realización bocetos de interfaz",17/02/11,22/02/11,3,0,"","","",
3,"  Diagramas UML",22/02/11,15/03/11,15,0,"","","",
5,"  Diagrama E-R Base de datos",22/02/11,8/03/11,10,0,"","","",
8,"  Diseño interfaces usuario",7/03/11,12/03/11,5,0,"","","",
31,"    Diseño interfaces control(Web y Android)",7/03/11,10/03/11,3,0,"","","",
32,"    Diseño interfaz Autobus (Android)",10/03/11,12/03/11,2,0,"","","",
33,"    Diseño interfaz Viajero (Web y Android)",7/03/11,10/03/11,3,0,"","","",
42,"  Implementacion interfaces usuario",7/03/11,2/04/11,20,0,"","","",
9,"    Implementación interfaces viajero",14/03/11,2/04/11,15,0,"","","",
29,"    Implementacion interfaces autobuses",7/03/11,26/03/11,15,0,"","","",
30,"    Implementacion interfaces control",7/03/11,26/03/11,15,0,"","","",
10,"  Implementación base de datos",8/03/11,16/03/11,6,0,"","","",
19,"  Implementación servidor",15/03/11,15/04/11,23,0,"","","",
34,"    Prototipo 1 (funcionalidad registrar autobus-linea)",15/03/11,19/03/11,4,0,"","","",
35,"    Prototipo 2 (funcionalidad obtener lineas)",21/03/11,25/03/11,4,0,"","","",
36,"    Prototipo 3 (funcionalidad obtener paradas)",25/03/11,30/03/11,3,0,"","","",
38,"    Prototipo 4 (funcionalidad obtener autobuses)",30/03/11,5/04/11,4,0,"","","",
40,"    Prototipo 5 (funcionalidad refrescar informacion autobus)",5/04/11,9/04/11,4,0,"","","",
39,"    Prototipo 6 (funcionalidad refrescar tiempos)",11/04/11,15/04/11,4,0,"","","",
65,"  Implementacion Web",18/04/11,3/05/11,11,0,"","","",
66,"    Paginas aplicacion Viajero",18/04/11,25/04/11,5,0,"","","",
67,"    Paginas aplicacion Control",25/04/11,30/04/11,5,0,"","","",
68,"    Paginas contacto, Ayuda y mapa web",2/05/11,3/05/11,1,0,"","","",
47,"  Implementacion aplicacion Autobus",15/04/11,13/06/11,41,0,"","","",
45,"    Prototipo 1 (Funcionalidad de establecer numero autobus)",15/04/11,25/04/11,6,0,"","","",
44,"    Prototipo 2 (Funcionalidad de establecer linea autobus)",25/04/11,1/05/11,5,0,"","","",
25,"    Prototipo 3 (Funcionalidad de enviar informacion al alcanzar parada)",2/05/11,10/05/11,6,0,"","","",
46,"    Prototipo 4 (Funcionalidad Indicar Inicio recorrido)",10/05/11,13/06/11,24,0,"","","",
26,"  Implementacion aplicacion Control",15/04/11,13/06/11,41,0,"","","",
50,"    Prototipo 1 (Funcionalidad Obtener lineas)",15/04/11,25/04/11,6,0,"","","",
51,"    Prototipo 2 (Funcionalidad Obtener detalle linea)",25/04/11,2/05/11,5,0,"","","",
52,"    Prototipo 3 (Funcionalidad obtener autobuses)",2/05/11,10/05/11,6,0,"","","",
53,"    Prototipo 4 (Funcionalidad obtener detalle autobus)",10/05/11,31/05/11,15,0,"","","",
54,"    Prototipo 5 (Funcionalidad obtener mapa autobuses)",31/05/11,13/06/11,9,0,"","","",
48,"  Implementacion aplicacion Viajero",15/04/11,13/06/11,41,0,"","","",
55,"    Prototipo 1 (funcionalidad obtener lineas)",15/04/11,25/04/11,6,0,"","","",
56,"    Prototipo 2 (funcionalidad ver detalle linea)",25/04/11,5/05/11,8,0,"","","",
61,"    Prototipo 3 (funcionalidad ver detalle parada)",5/05/11,10/05/11,3,0,"","","",
57,"    Prototipo 4 (funcionalidad añadir parada a favoritos)",10/05/11,20/05/11,8,0,"","","",
58,"    Prototipo  5 (funcionalidad elimininar favorito)",20/05/11,25/05/11,3,0,"","","",
59,"    Prototipo 6 (funcionalidad listar favoritos)",25/05/11,27/05/11,2,0,"","","",
60,"    Prototipo 7 (funcionalidad reordenar favoritos)",27/05/11,31/05/11,2,0,"","","",
62,"    Prototipo 8 (funcionalidad ver mapa posicion introducida)",31/05/11,3/06/11,3,0,"","","",
63,"    Prototipo 9 (funcionalidad ver mapa posicion parada)",3/06/11,10/06/11,5,0,"","","",
64,"    Prototipo 10 (funcionalidad ver mapa posicion actual)",10/06/11,13/06/11,1,0,"","","",
15,"  Pruebas servidor",15/04/11,6/05/11,15,0,"","","",
16,"  Pruebas aplicación viajeros",13/06/11,29/06/11,12,0,"","","",
27,"  Pruebas aplicacion autobuses",13/06/11,16/06/11,3,0,"","","",
28,"  Pruebas aplicacion Control",13/06/11,16/06/11,3,0,"","","",
69,"  Actualizacion Documentacion",16/06/11,17/06/11,1,0,"","","",



ID,Nombre,e-mail,Teléfono,Función,


